names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
PSCA,44.33074,6.462453,0.0,0.0,1.0,1.0
PIP,42.017906,3.3641605,0.0,0.0,1.0,1.0
HAGHL,39.469982,3.156772,0.0,0.0,1.0,1.0
CRACR2B,37.115417,2.780836,1.5846968669572936e-301,7.284323265113694e-299,1.0,1.0
WDR90,36.737225,3.421859,1.8598114518125988e-295,7.32765712014164e-293,1.0,1.0
TCIM,33.449436,3.106794,2.6227861387599617e-245,6.576040155181795e-243,1.0,1.0
GATA2,29.818785,7.7511783,2.230163899721943e-195,2.196711441226114e-193,1.0,1.0
RECQL4,28.769789,3.7744474,5.123358342694583e-182,3.3643386450361092e-180,1.0,1.0
PRSS23,28.557365,5.1138077,2.2756351934430356e-179,1.394711525225754e-177,1.0,1.0
